sentence,ic,ner
giá bnhieu e,request#price,O O O
bộ này bn em?,request#price,B-inform#object_type B-inform#mention O O
giá. bnhieu ạ,request#price,O O O
m xin giá hai bộ này,request#price,O O O O B-inform#object_type B-inform#mention
bnhieu vậy shop,request#price,O O O
áo bn ạ,request#price,B-inform#object_type O O
cho mình hỏi giá bộ này ạ,request#price,O O O O B-inform#object_type B-inform#mention O
giá bn đấy b,request#price,O O O O
mình xin giá 2 set này nhé,request#price,O O O O B-inform#object_type B-inform#mention O
báo giá cho m luôn nhé,request#price,O O O O O O
giá bn an,request#price,O O O
bộ này giá bn shop,request#price,B-inform#object_type B-inform#mention O O O
cái bao nhiêu tiền vậy em,request#price,O O O O O O
áo giá bn ạ?,request#price,B-inform#object_type O O O
áo cho bé bn vậy shop,request#price,B-inform#object_type O O O O O
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này sale bn ạ",request#price,O O O O B-inform#mention O O O
cho mình xin giá set này,request#price,O O O O B-inform#object_type B-inform#mention
set bn s?,request#price,B-inform#object_type O O
shop ơi\nbộ này giá bn,request#price,O B-inform#object_type B-inform#mention O O
cho t hỏi giá set này nhé,request#price,O O O O B-inform#object_type B-inform#mention O
báo giá chị set này,request#price,O O O B-inform#object_type B-inform#mention
cho mình xin giá bộ này ạ,request#price,O O O O B-inform#object_type B-inform#mention O
m xin giá set này ạ,request#price,O O O B-inform#object_type B-inform#mention O
cho m hỏi bộ này bn?,request#price,O O O B-inform#object_type B-inform#mention O
m xin giá bộ này,request#price,O O O B-inform#object_type B-inform#mention
mình xin giá set này với ạ,request#price,O O O B-inform#object_type B-inform#mention O O
bn zay b,request#price,O O O
của chị hết nhiu vay e,request#price,O O O O O O
giá ntn ah,request#price,O O O
cho m xin giá áo ạ,request#price,O O O O B-inform#object_type O
"[quầ]{""entity"": ""inform#object_type"", ""value"": ""quan""}n này bn vậy shop",request#price,O O O O B-inform#mention O O O
và giá cả set là bn ạ?,request#price,O O O B-inform#object_type O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này bn 1 chiếc vậy shop",request#price,O O O O B-inform#mention O O O O O
báo giá cho m set này với,request#price,O O O O B-inform#object_type B-inform#mention O
áo này bao nhiêu b,request#price,B-inform#object_type B-inform#mention O O O
cho em xin giá ạ,request#price,O O O O O
b ơi cho mình hỏi giá 2 bộ này ja,request#price,O O O O O O O B-inform#object_type B-inform#mention O
cho .m hoi áo này giá tnao,request#price,O O O B-inform#object_type B-inform#mention O O
cho mình xin giá bộ này với ạ,request#price,O O O O B-inform#object_type B-inform#mention O O
bo cuop bien bn shop,request#price,B-inform#object_type O O O O
em oi vay nay bn tien nhi,request#price,O O B-inform#object_type B-inform#mention O O O
bộ bn vậy shop,request#price,B-inform#object_type O O O
váy bn vậy ạ,request#price,B-inform#object_type O O O
váy này bn ạ,request#price,B-inform#object_type B-inform#mention O O
sét này bn e,request#price,B-inform#object_type B-inform#mention O O
set này bnhieu b ơi,request#price,B-inform#object_type B-inform#mention O O O
báo giá cho c,request#price,O O O O
cho mình xin giá váy hồng,request#price,O O O O B-inform#object_type B-inform#color
m xin giá ak,request#price,O O O O
cho mình xin giá áo và bộ cho bé 16kg,request#price,O O O O B-inform#object_type O O O O B-inform#weight
ib giá b ơi,request#price,O O O O
bộ này bn shop ơi,request#price,B-inform#object_type B-inform#mention O O O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này giá bn ạ",request#price,O O O O B-inform#mention O O O
bn,request#price,O
baow giá giúp m set này nhé,request#price,O O O O B-inform#object_type B-inform#mention O
"[áo khoác]{""entity"": ""inform#object_type"", ""value"": ""ao_khoac""} này bao nhiêu tiền shop ơi?",request#price,O O O O O B-inform#mention O O O O O
set này bnn b ơi,request#price,B-inform#object_type B-inform#mention O O O
giá bnhiu ạ,request#price,O O O
báo giá mình bộ này với nhé,request#price,O O O B-inform#object_type B-inform#mention O O
giá bnh ạ,request#price,O O O
"inb mình giá [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} bann gái 10y",request#price,O O O O O O O B-inform#gender I-inform#gender B-inform#age
"[chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} bn e oi",request#price,O O O O O O O O
mẫu bé trai bn ạ,request#price,B-inform#mention O O O O
set này bn vậy shop,request#price,B-inform#object_type B-inform#mention O O O
m xin giá áo bé trai mặc,request#price,O O O B-inform#object_type B-inform#gender I-inform#gender O
cho mình hỏi bộ này bn shop,request#price,O O O B-inform#object_type B-inform#mention O O
quần này nhiêu ạ,request#price,B-inform#object_type B-inform#mention O O
bộ này bn b,request#price,B-inform#object_type B-inform#mention O O
gia 2 bo nay ntn shop oi,request#price,O O B-inform#object_type B-inform#mention O O O
cho mình hỏi giá 1 bộ áo dài ạ,request#price,O O O O O B-inform#object_type B-inform#object_type I-inform#object_type O
bn vậy b,request#price,O O O
cho chị hỏi giá áo bé trai 5t nhé,request#price,O O O O B-inform#object_type B-inform#gender I-inform#gender B-inform#age O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} có giá bn bạn?",request#price,O O O O O O O O
bnhiu v,request#price,O O
váy bé bao nhiêu vậy ạ,request#price,B-inform#object_type O O O O O
cho mình hỏi bộ này giá bao nhiêu shop ơi?,request#price,O O O B-inform#object_type B-inform#mention O O O O O
set này bnhiu shop,request#price,B-inform#object_type B-inform#mention O O
bn b oi?,request#price,O O O
"[bô]{""entity"": ""inform#object_type"", ""value"": ""bo""} này bnhiu vậy shop",request#price,O O O O B-inform#mention O O O
b ơi set nay bn,request#price,O O B-inform#object_type B-inform#mention O
2 set này bnhieu vậy b,request#price,O B-inform#object_type B-inform#mention O O O
bộ này sale còn bao nhiêu,request#price,B-inform#object_type B-inform#mention O O O O
cho m xin giá nhé,request#price,O O O O O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} này bnhieu shop",request#price,O O O O B-inform#mention O O
giá bn b,request#price,O O O
cho chị giá của các mẫu nam halloween em nhé,request#price,O O O O O O B-inform#gender O O O
báo giá mình set này nhé,request#price,O O O B-inform#object_type B-inform#mention O
bô nay bnh vậy,request#price,B-inform#object_type B-inform#mention O O
cho m xin giá 2 bộ này,request#price,O O O O O B-inform#object_type B-inform#mention
giá bao nhiêu,request#price,O O O
giá bn shop?,request#price,O O O
báo giá cho mình giá váy này nhé,request#price,O O O O O B-inform#object_type B-inform#mention O
ib giá bộ 5t giúp mình,request#price,O O B-inform#object_type B-inform#age O O
bn váy này - váy này giá bn vậy shop,request#price,O B-inform#object_type B-inform#mention O B-inform#object_type B-inform#mention O O O O
shop báo giá giúp mấy bộ halloween cho bé gái 6 tuổi với,request#price,O O O O O B-inform#object_type O O B-inform#gender I-inform#gender B-inform#age I-inform#age O
cho c hỏi giá mẫu này,request#price,O O O O B-inform#mention I-inform#mention
quần này bn đấy shop,request#price,B-inform#object_type B-inform#mention O O O
set này bn vậy ah,request#price,B-inform#object_type B-inform#mention O O O
mình xin giá bộ này a,request#price,O O O B-inform#object_type B-inform#mention O
cho m xin giá set này,request#price,O O O O B-inform#object_type B-inform#mention
báo giá c set này,request#price,O O O B-inform#object_type B-inform#mention
báo giá tớ mẫu này,request#price,O O O B-inform#mention I-inform#mention
shop ơi ib mình giá áo này với,request#price,O O O O O B-inform#object_type B-inform#mention O
"giá [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} bn ạ",request#price,O O O O O O O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} này bn b",request#price,O O O O B-inform#mention O O
mẫu này bn ạ,request#price,B-inform#mention I-inform#mention O O
bn a,request#price,O O
b cho mình hỏi áo này bn,request#price,O O O O B-inform#object_type B-inform#mention O
"giá [quần]{""entity"": ""inform#object_type"", ""value"": ""quan""}",request#price,O O O O O
váy bao nhiêu bạn?,request#price,B-inform#object_type O O O
set bé gái này bn shop ơi,request#price,B-inform#object_type B-inform#gender I-inform#gender O O O O
cho mình xin giá bộ này size 2 với ạ,request#price,O O O O B-inform#object_type B-inform#mention O O O O
bộ này bnhiu b?,request#price,B-inform#object_type B-inform#mention O O
"ib m giá [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} và áo này",request#price,O O O O O O O O O B-inform#object_type B-inform#mention
set nè bn b,request#price,B-inform#object_type B-inform#mention O O
cho e hỏi set này giá bn ạ,request#price,O O O B-inform#object_type B-inform#mention O O O
cho mình xin giá ạ,request#price,O O O O O
cho mình xin giá quần này ạ,request#price,O O O O B-inform#object_type B-inform#mention O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} này giá tn",request#price,O O O O B-inform#mention O O
shop cho mình xin giá set này với,request#price,O O O O O B-inform#object_type B-inform#mention O
báo giá cho mình mấy bộ đồ này nhé,request#price,O O O O O B-inform#object_type O B-inform#mention O
mình xin giá váy này ạ,request#price,O O O B-inform#object_type B-inform#mention O
giá bao nhiêu vậy shop,request#price,O O O O O
cho mình xin giá 2 bộ này,request#price,O O O O O B-inform#object_type B-inform#mention
báo giá cho m với,request#price,O O O O O
bạn ơi cho mình xin giá bộ pony cho bé 3 tuổi ạ,request#price,O O O O O O B-inform#object_type O O O B-inform#age I-inform#age O
báo giá mình hai bộ này nhé,request#price,O O O O B-inform#mention B-inform#mention O
báo giá cho mình sp này nhé,request#price,O O O O O B-inform#mention O
váy này giá bnhiu shop,request#price,B-inform#object_type B-inform#mention O O O
áo này sale còn bnhiu,request#price,B-inform#object_type B-inform#mention O O O
báo giá mình,request#price,O O O
minh xin gia 2 set,request#price,O O O O B-inform#object_type
cho mình hỏi cả set này giá bao nhiu vậy?,request#price,O O O O B-inform#object_type B-inform#mention O O O O
cho em xin giá quần này với ạh,request#price,O O O O B-inform#object_type B-inform#mention O O
báo giá giúp mình bộ này,request#price,O O O O B-inform#object_type B-inform#mention
2 mẫu này có giá bao nhiêu vậy shop,request#price,O B-inform#mention I-inform#mention O O O O O O
váy này bao nhiêu em,request#price,B-inform#object_type B-inform#mention O O O
bn shop oi,request#price,O O O
bộ này giá bn b ơi,request#price,B-inform#object_type B-inform#mention O O O O
báo giá m với nhé,request#price,O O O O O
set này bn ban,request#price,B-inform#object_type B-inform#mention O O
bộ này giá sao shop,request#price,B-inform#object_type B-inform#mention O O O
bộ halloween giá bnhiu b oi,request#price,B-inform#object_type O O O O O
bạn ơi cho mình hỏi set nay bn tiền a bạn,request#price,O O O O O B-inform#object_type B-inform#mention O O O O
giá ntn nhỉ,request#price,O O O
set này giá bn vậy shop ơi?,request#price,B-inform#object_type B-inform#mention O O O O O
giá bao nhiêu em nhỉ,request#price,O O O O O
"[bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này bao nhiêu em",request#price,O O O O B-inform#mention O O O
váy này bn shop,request#price,B-inform#object_type B-inform#mention O O
set bao nhiêu ạ,request#price,B-inform#object_type O O O
2 set này bn shop,request#price,O B-inform#object_type B-inform#mention O O
bn ạ,request#price,O O
bao nhiêu tiền shop ơi,request#price,O O O O O
cho mình xin giá 2 bộ này nhé,request#price,O O O O O B-inform#object_type B-inform#mention O
giá bộ này bao nhiêu shop nhỉ,request#price,O B-inform#object_type B-inform#mention O O O O
ib m giá bst halloween,request#price,O O O O O
ib m giá set này nhé,request#price,O O O B-inform#object_type B-inform#mention O
bộ nay sale bn sh,request#price,B-inform#object_type B-inform#mention O O O
shop cho mình xin giá bộ này vs ạ,request#price,O O O O O B-inform#object_type B-inform#mention O O
bnhiu shop,request#price,O O
bao giá chị 2 cái này,request#price,O O O O B-inform#mention I-inform#mention
bộ này bnhiu shop? có sz cho bạn 42kg lớp 2 ko sh?,request#price,B-inform#object_type B-inform#mention O O O O O O B-inform#weight O O O O
cho mình hỏi giá set này với,request#price,O O O O B-inform#object_type B-inform#mention O
mình xin giá 2 bộ nhé,request#price,O O O O B-inform#object_type O
bộ này giá bn vậy shop,request#price,B-inform#object_type B-inform#mention O O O O
váy bn vậy shop?,request#price,B-inform#object_type O O O
bao nhiu cj,request#price,O O O
bộ này bn bạn,request#price,B-inform#object_type B-inform#mention O O
giá là bn vậy,request#price,O O O O
set dracula bn ạ,request#price,B-inform#object_type O O O
cho m xin giá bst hallowen ạ,request#price,O O O O O O O
mình xin giá 2 sp này,request#price,O O O O B-inform#mention I-inform#mention
"ban oi, bao gia giup minh 2 bo nay",request#price,O O O O O O O B-inform#object_type B-inform#mention
"[áo khoác]{""entity"": ""inform#object_type"", ""value"": ""ao_khoac""} này bn zay c",request#price,O O O O O B-inform#mention O O O
bộ này bn thế sh,request#price,B-inform#object_type B-inform#mention O O O
cho mình xin giá váy này với,request#price,O O O O B-inform#object_type B-inform#mention O
xin giá váy,request#price,O O B-inform#object_type
"bạn oi, quần váy có chương trình giảm giá ko",request#price,O O B-inform#object_type I-inform#object_type O O O O O O
set này bao nhiêu vậy shop,request#price,B-inform#object_type B-inform#mention O O O O
bé trai 28kg giá ntn,request#price,B-inform#gender I-inform#gender B-inform#age O O
mình xin giá các mẫu này nhé,request#price,O O O O B-inform#mention I-inform#mention O
ở cửa hàng áo này giảm bnh b?,request#price,O O O B-inform#object_type B-inform#mention O O O
báo giá set này giúp m,request#price,O O B-inform#object_type B-inform#mention O O
set này bn hả b,request#price,B-inform#object_type B-inform#mention O O O
cho mình giá mấy bộ đồ cho bé 7 tuổi nhé,request#price,O O O O B-inform#object_type I-inform#object_type O O B-inform#age I-inform#age O
váy này bn shop ơi,request#price,B-inform#object_type B-inform#mention O O O
váy này bao nhiêu e,request#price,B-inform#object_type B-inform#mention O O O
ib giá áo,request#price,O O B-inform#object_type
ao tren bn aj,request#price,B-inform#object_type O O O
bao nhiêu vậy shop,request#price,O O O O
váy hồng bnhiu e,request#price,B-inform#object_type B-inform#color O O
"shop ơi bộ 2 [bộ]{""entity"": ""inform#object_type"", ""value"": ""bo""} này bn ạ",request#price,O O O O O O O O B-inform#mention O O
shop oi set nay bn vậy ạ,request#price,O O B-inform#object_type B-inform#mention O O O
cái này bao nhiêu shop,request#price,B-inform#mention I-inform#mention O O O
cho tớ xin giá bộ này,request#price,O O O O B-inform#object_type B-inform#mention
cho m xin giá sp,request#price,O O O O O
bộ này bn shop,request#price,B-inform#object_type B-inform#mention O O
áo này giá bao nhiêu,request#price,B-inform#object_type B-inform#mention O O O
shop cho mình xin giá nhé,request#price,O O O O O O
áo dài này giá bao nhiêu shop?,request#price,B-inform#object_type I-inform#object_type B-inform#mention O O O O
váy này bn vậy shop?,request#price,B-inform#object_type B-inform#mention O O O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này bn vậy a",request#price,O O O O B-inform#mention O O O
b cho mình hỏi giá của 3sp này vs nhé?,request#price,O O O O O O O B-inform#mention O O
nhắn mình giá bộ này nhé,request#price,O O O B-inform#object_type B-inform#mention O
bộ này giá bn,request#price,B-inform#object_type B-inform#mention O O
giá bn shop ơi,request#price,O O O O
"2 [ao len]{""entity"": ""inform#object_type"", ""value"": ""ao_len""} này bao tiền a ban",request#price,O O O O O O B-inform#mention O O O O
e xin giá 3 bộ này ạ,request#price,O O O O B-inform#object_type B-inform#mention O
"[chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} giá thế nào sh?",request#price,O O O O O O O O O
set này bn shop?,request#price,B-inform#object_type B-inform#mention O O
giá bộ này bn luon ak,request#price,O B-inform#object_type B-inform#mention O O O
cho m giá vs,request#price,O O O O
set này giá tn vậy b,request#price,B-inform#object_type B-inform#mention O O O O
giá bn ạ,request#price,O O O
shop báo giá m nhé,request#price,O O O O O
2 bộ này giá bnhieu?,request#price,O B-inform#object_type B-inform#mention O O
báo giá giup m nhe,request#price,O O O O O
"mấy quần có size 120, 130 ko ạ?",ask_if_sells#size,O B-inform#object_type O O O O O O
bộ này có size cho bé 10y k ad,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O B-inform#age O O
áo có size cho bé 6 tuổi . 22 kg ko bạn,ask_if_sells#size,B-inform#object_type O O O O B-inform#age I-inform#age O B-inform#weight I-inform#weight O O
có size cho 11kg k a,ask_if_sells#size,O O O B-inform#weight O O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} này có size cho bạn 28kg ko shop",ask_if_sells#size,O O O O B-inform#mention O O O O B-inform#weight O O
có mẫu nào sz 14 và 16kg k shop,ask_if_sells#size,O O O O B-inform#weight O B-inform#weight O O
bộ này có size cho bé 18 kg không,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O B-inform#weight I-inform#weight O
có bộ này size 11 ko ạ,ask_if_sells#size,O B-inform#object_type B-inform#mention O O O O
váy này có size 7y cho bạn cao 128cm ko,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#age O O O B-inform#height O
shop có size cho bé 6t 23kg và bé 8t 33kg ko inbox mình nha!,ask_if_sells#size,O O O O O B-inform#age B-inform#weight O O B-inform#age B-inform#weight O O O O
shop ơi bộ trắng có size 3 cho bé hơn 14kg ko,ask_if_sells#size,O O B-inform#object_type B-inform#color O O O O O O B-inform#weight O
hai mẫu này có size cho bé 39 kg k ạ,ask_if_sells#size,O B-inform#mention I-inform#mention O O O O B-inform#weight I-inform#weight O O
bộ này có sz 10t 54 kg kg,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#age B-inform#weight I-inform#weight O
bạn ơi bộ này có size 3 tuổi ko,ask_if_sells#size,O O B-inform#object_type B-inform#mention O O B-inform#age I-inform#age O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này có size cho bé 120 cm 28 kg k",ask_if_sells#size,O O O O B-inform#mention O O O O B-inform#height I-inform#height O O O
có size bé 8 tuổi 25kg ko ạ,ask_if_sells#size,O O O B-inform#age I-inform#age B-inform#weight O O
có sz cho bé 12t k ah,ask_if_sells#size,O O O O B-inform#age O O
có sz cho bé 39 kg k b,ask_if_sells#size,O O O O B-inform#weight I-inform#weight O O
và có size cho bé 13kg cao 87cm k,ask_if_sells#size,O O O O O B-inform#weight O B-inform#height O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này có size cho bé 4 tuổi 15kg k ah",ask_if_sells#size,O O O O B-inform#mention O O O O B-inform#age I-inform#age B-inform#weight O O
váy hồng có size 150 k b,ask_if_sells#size,B-inform#object_type B-inform#color O O O O O
có size cho bé 35kg ko b?,ask_if_sells#size,O O O O B-inform#weight O O
quần này có size nào tầm hơn 40kg,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O O B-inform#weight
set này có sz bé 16 kg không e,ask_if_sells#size,B-inform#object_type B-inform#mention O O O B-inform#weight I-inform#weight O O
cho mình hỏi mẫu này có size 7 ko?,ask_if_sells#size,O O O B-inform#mention I-inform#mention O O O O
shop ơi cho mình hỏi bộ unicon có sz cho bé 4-5t ko nhỉ?,ask_if_sells#size,O O O O O B-inform#object_type O O O O O B-inform#age O O
set này có size cho bé 1 tuổi k shop?,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O B-inform#age I-inform#age O O
quần này bên mìh có sz cho bé 11kg k b,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O O O B-inform#weight O O
mẫu váy này còn cửa hàng nào có size cho bé 4-5 tuổi k ạ,ask_if_sells#size,O B-inform#object_type B-inform#mention O O O O O O O O B-inform#age I-inform#age O O
bộ này có size 32 cân k e,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#weight I-inform#weight O O
có sz 4-5 k ạ,ask_if_sells#size,O O O O O
cho mình hỏi mẫu quần này có sz 4/5y k shop?,ask_if_sells#size,O O O O B-inform#object_type B-inform#mention O O B-inform#age O O
bé 19kg cao 1m15 có size của bé ko ạ,ask_if_sells#size,O B-inform#weight O B-inform#height O O O O O O
váy hồng này có size bạn 15kg 3t k,ask_if_sells#size,B-inform#object_type B-inform#color B-inform#mention O O O B-inform#weight B-inform#age O
có áo bé gái size 12y k e,ask_if_sells#size,O B-inform#object_type B-inform#gender I-inform#gender O B-inform#age O O
2 cái này có size 5t ko?,ask_if_sells#size,O B-inform#mention I-inform#mention O O B-inform#age O
có size cho bé 7t k?,ask_if_sells#size,O O O O B-inform#age O
có sz cho bé 15kg 3 tuổi kg ak,ask_if_sells#size,O O O O B-inform#weight B-inform#age I-inform#age O O
bộ này có size bé 30 kg k b,ask_if_sells#size,B-inform#object_type B-inform#mention O O O B-inform#weight I-inform#weight O O
"bộ này có sai cho bé 14,5kg kh shop?",ask_if_sells#size,B-inform#object_type B-inform#mention O O O O B-inform#weight O O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này bé gái có sz 6y ko e",ask_if_sells#size,O O O O B-inform#mention B-inform#gender I-inform#gender O O B-inform#age O O
có size cho bé 7 tuổi 22kg ko?,ask_if_sells#size,O O O O B-inform#age I-inform#age B-inform#weight O
có size cho bạn cao 1m35 nặng 41kg ko em?,ask_if_sells#size,O O O O O B-inform#height O B-inform#weight O O
2 mẫu này có sz cho bé 2-3y k b,ask_if_sells#size,O B-inform#mention I-inform#mention O O O O B-inform#age O O
"[đầm]{""entity"": ""inform#object_type"", ""value"": ""vay""} đỏ có size bé 40 kg k shop",ask_if_sells#size,O O O O B-inform#color O O O B-inform#weight I-inform#weight O O
có size 17kg ko shop?,ask_if_sells#size,O B-inform#weight I-inform#weight O O
"em xem hộ chị lotte có [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này size 12 ko nhé",ask_if_sells#size,O O O O O O O O O O B-inform#mention O O O O
có size 3-4 tuổi ko ạ,ask_if_sells#size,O O B-inform#age I-inform#age O O
có size cho bé 7t 23kg k,ask_if_sells#size,O O O O B-inform#age B-inform#weight O
"[quần]{""entity"": ""inform#object_type"", ""value"": ""quan""} có size cho bạn 30kg k shop",ask_if_sells#size,O O O O O O O O B-inform#weight O O
mẫu này có size bé 45kg k shop,ask_if_sells#size,B-inform#mention I-inform#mention O O O B-inform#weight O O
áo này có size 10t ko b,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#age O O
có size cho bé 2 tuổi rưỡi ko,ask_if_sells#size,O O O O B-inform#age I-inform#age O O
"có sz cho bạn 42 ký eo 70cm, mông 80cm ko sh?",ask_if_sells#size,O O O O B-inform#weight I-inform#weight O O O O O O
co sai be 12-13 tuoi,ask_if_sells#size,O O O B-inform#age I-inform#age
váy này có sz cho bé 28kg ko ạ,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O B-inform#weight O O
có sz cho b 35kg lớp 4 k ạ,ask_if_sells#size,O O O O B-inform#weight O O O O
có size 100 và 120 ko e,ask_if_sells#size,O O O O O O O
"có size cho bé 3,5y 15kg và bạn 35kg 8,5y ko shop?",ask_if_sells#size,O O O O B-inform#age B-inform#weight O O B-inform#weight B-inform#mention O O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này có sz bé 9tuoi 33kg ko shop",ask_if_sells#size,O O O O B-inform#mention O O O B-inform#age B-inform#weight O O
e ơi bộ nayd có sz 130 k e,ask_if_sells#size,O O B-inform#object_type B-inform#mention O O O O O
có size 47 kg cao 15m54 khoong,ask_if_sells#size,O O B-inform#weight I-inform#weight O B-inform#height O
check hộ t những bộ nay có size 3t k nhé,ask_if_sells#size,O O O O B-inform#object_type B-inform#mention O O B-inform#age O O
có size bé 9t 30kg ko e,ask_if_sells#size,O O O B-inform#age B-inform#weight O O
bé cao 1m33 nặng 33kg có size ko em,ask_if_sells#size,O O B-inform#height O B-inform#weight O O O O
ở láng có sz bé 5-6t ko em,ask_if_sells#size,O B-inform#location O O O B-inform#age O O
có size 16kg 4 tuổi ko ak,ask_if_sells#size,O O B-inform#weight B-inform#age I-inform#age O O
b có size bộ này cho bé 17m không,ask_if_sells#size,O O O B-inform#object_type B-inform#mention O O B-inform#age O
có sz cho bé 2 tuổi 11kg ko ạ,ask_if_sells#size,O O O O B-inform#age I-inform#age B-inform#weight O O
có sz 40 k sh,ask_if_sells#size,O O O O O
"[váy]{""entity"": ""inform#object_type"", ""value"": ""vay""} này có sz 30kg ko b",ask_if_sells#size,O O O O B-inform#mention O O B-inform#weight O O
váy này có sz 29kg ko,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#weight O
có sz 3y k ah,ask_if_sells#size,O O B-inform#age O O
có sz cho bé 30kg cao 1m3 k ạ,ask_if_sells#size,O O O O B-inform#weight O B-inform#height O O
mẫu quần này có size cho bạn 10 tuổi ko shop?,ask_if_sells#size,O B-inform#object_type B-inform#mention O O O O B-inform#age I-inform#age O O
có sz cho bé 35 kg không ạ,ask_if_sells#size,O O O O B-inform#weight I-inform#weight O O
bộ này có sz bé 30kg k b?,ask_if_sells#size,B-inform#object_type B-inform#mention O O O B-inform#weight O O
có size cho bạn 48kg k e,ask_if_sells#size,O O O O B-inform#weight O O
b ơi 2 bộ này có size 12-18k ak,ask_if_sells#size,O O O B-inform#object_type B-inform#mention O O O O
quần này có sz 8t k b,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#age O O
co sai tầm 4 tuổi 16kg ko ah,ask_if_sells#size,O O O B-inform#age I-inform#age B-inform#weight O O
có sai cho bé 7t k ạ?,ask_if_sells#size,O O O O B-inform#age O O
co size cho bé 8 tuổi nặng 30kg cao 1m32 ko ạ,ask_if_sells#size,O O O O B-inform#age I-inform#age O B-inform#weight O B-inform#height O O
có size cho bé cao 1m20 26kg không shop,ask_if_sells#size,O O O O O B-inform#height B-inform#weight O O
có sz 14kg ko b?,ask_if_sells#size,O O B-inform#weight O O
có sz cho bé 22kg ko ạ,ask_if_sells#size,O O O O B-inform#age O O
quần này có size cho bé 38kg ko shop?,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O B-inform#weight O O
có size bé 12-14kg k e,ask_if_sells#size,O O O B-inform#weight O O
bộ cho bé gái có size 30kg k ạ,ask_if_sells#size,B-inform#object_type O B-inform#gender I-inform#gender O O B-inform#weight O O
mẫu này có size bé 28kg ko shop,ask_if_sells#size,B-inform#mention I-inform#mention O O O B-inform#weight O O
mẫu này có size cho bé 12 tuổi 50kg ko e,ask_if_sells#size,B-inform#mention I-inform#mention O O O O B-inform#age I-inform#age B-inform#weight O O
váy này có size 140 k bạn?,ask_if_sells#size,B-inform#object_type B-inform#mention O O O O O
có size lớn cho bé 40kg ko shop,ask_if_sells#size,O O O O O B-inform#weight O O
có sz cho bé 4t ki,ask_if_sells#size,O O O O B-inform#age O
bộ này có size bé 12 tuổi ko ạ,ask_if_sells#size,B-inform#object_type B-inform#mention O O O B-inform#age I-inform#age O O
bộ này có sz bé 42kg 59 kg k b ơi,ask_if_sells#size,B-inform#object_type B-inform#mention O O O B-inform#weight B-inform#mention I-inform#mention O O O
"shop cho m hỏi set [áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} trắng [chân váy]{""entity"": ""inform#object_type"", ""value"": ""chan_vay""} bò có sz 1m45 48kg ko ah",ask_if_sells#size,O O O O O O O O O B-inform#color O O O O O O O O B-inform#height B-inform#weight O O
có size cho bé 21 kg ko ạ,ask_if_sells#size,O O O O B-inform#weight I-inform#weight O O
áo nữ có size 1m50 nặng 42kg k ạ,ask_if_sells#size,B-inform#object_type B-inform#gender O O B-inform#height O B-inform#weight O O
có size cho bé trai 45kg 10 tuổi ko?,ask_if_sells#size,O O O B-inform#gender I-inform#gender B-inform#weight B-inform#age I-inform#age O
"[áo]{""entity"": ""inform#object_type"", ""value"": ""ao""} này có sz 14 không shop",ask_if_sells#size,O O O O B-inform#mention O O O O O
mấy mẫu này có size 20kg k shop,ask_if_sells#size,O B-inform#mention I-inform#mention O O B-inform#weight O O
set này có size 10 tuổi ko b,ask_if_sells#size,B-inform#object_type B-inform#mention O O B-inform#age I-inform#age O O
có size cho b 36 kg a,ask_if_sells#size,O O O O B-inform#weight I-inform#weight O
